,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
466,0.7883827686309814,0.04988085833235025,0.04403600692749023,0.0023915568591355903,1.0,1.5,10,10,0.8,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.8}",0.6574528840662479,0.6471730439748715,0.6503712164477441,0.6510565391205025,0.6497601096641535,0.651162758654704,0.003408481971932913,271
467,0.7599585056304932,0.030159903855721586,0.041948699951171876,0.001386471326872796,1.0,1.5,10,10,1.0,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 1.0}",0.6574528840662479,0.6471730439748715,0.6503712164477441,0.6510565391205025,0.6497601096641535,0.651162758654704,0.003408481971932913,271
468,0.4710197448730469,0.002243918668039546,0.035504627227783206,0.0005827929302103992,1.0,2,2,1,0.6,"{'colsample_bytree': 1.0, 'gamma': 2, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.6}",0.6454597372929755,0.637806967447173,0.636550542547116,0.6381496287835523,0.6386794608179118,0.6393292673777458,0.003144365307105098,451
469,0.4706089019775391,0.0014507513185034952,0.03572392463684082,0.0005385933643956468,1.0,2,2,1,0.8,"{'colsample_bytree': 1.0, 'gamma': 2, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 0.8}",0.6454597372929755,0.637806967447173,0.636550542547116,0.6381496287835523,0.6386794608179118,0.6393292673777458,0.003144365307105098,451
470,0.48448681831359863,0.011341478217281879,0.03719053268432617,0.000826778687646847,1.0,2,2,1,1.0,"{'colsample_bytree': 1.0, 'gamma': 2, 'max_depth': 2, 'min_child_weight': 1, 'subsample': 1.0}",0.6454597372929755,0.637806967447173,0.636550542547116,0.6381496287835523,0.6386794608179118,0.6393292673777458,0.003144365307105098,451
471,0.47777462005615234,0.01624129310250711,0.036155986785888675,0.0008112959930529731,1.0,2,2,5,0.6,"{'colsample_bytree': 1.0, 'gamma': 2, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.6}",0.6454597372929755,0.6368932038834951,0.6364363221016562,0.6384922901199315,0.6383367603381311,0.6391236627472379,0.00326681600134924,496
472,0.47055854797363283,0.006509882421509188,0.03639087677001953,0.0007995844367194731,1.0,2,2,5,0.8,"{'colsample_bytree': 1.0, 'gamma': 2, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.8}",0.6454597372929755,0.6368932038834951,0.6364363221016562,0.6384922901199315,0.6383367603381311,0.6391236627472379,0.00326681600134924,496
473,0.46981015205383303,0.002343165008881102,0.03573541641235352,0.0003257894191809206,1.0,2,2,5,1.0,"{'colsample_bytree': 1.0, 'gamma': 2, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 1.0}",0.6454597372929755,0.6368932038834951,0.6364363221016562,0.6384922901199315,0.6383367603381311,0.6391236627472379,0.00326681600134924,496
474,0.4776309967041016,0.005605460862341249,0.03623762130737305,0.0009018592324067674,1.0,2,2,10,0.6,"{'colsample_bytree': 1.0, 'gamma': 2, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.6}",0.6466019417475728,0.6356367789834381,0.6388349514563106,0.6406624785836664,0.6366232579392278,0.6396718817420431,0.003880299664965233,406
475,0.469549560546875,0.0016227074140169361,0.036832332611083984,0.00094428217869017,1.0,2,2,10,0.8,"{'colsample_bytree': 1.0, 'gamma': 2, 'max_depth': 2, 'min_child_weight': 10, 'subsample': 0.8}",0.6466019417475728,0.6356367789834381,0.6388349514563106,0.6406624785836664,0.6366232579392278,0.6396718817420431,0.003880299664965233,406
